Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs; Batche Size; Prediction Window
85;28.61093211;1030.631561;32.10345092;6.995068133;2.511969832;37.34274448;2288.40968;47.83732517;12.59885105;-1.132054906;4;0.1;100;120;10;10
85;18.18529643;584.1609288;24.16942136;4.581237397;-2.596362709;39.07384841;2433.364127;49.32914074;13.33897514;-0.857224127;4;0.1;100;120;10;30
85;63.38260722;4676.612843;68.38576491;15.74007688;-15.74007688;41.58788483;2893.076669;53.78732814;13.66192101;-0.916968528;4;0.1;100;120;10;1
85;39.24977936;2284.654323;47.79805774;9.973629343;-9.773815819;41.23379584;2944.30213;54.26142396;13.28964892;0.70975111;4;0.1;100;120;10;5
85;42.63680155;2665.516347;51.62863883;10.67764121;-7.217469918;40.14967436;2822.604292;53.12818736;13.21679812;-0.586373032;4;0.1;100;120;10;10
85;169.1940377;30928.20913;175.8641781;39.88776942;34.80789208;37.97778971;2431.979986;49.3151091;12.86235032;-0.73560825;4;0.1;100;120;10;30
85;56.33020686;5548.437225;74.48783273;17.74861144;5.393333115;40.6244184;2721.29423;52.16602563;11.36159974;5.669763087;4;0.1;100;120;10;1
85;63.34468831;6656.954777;81.59016348;20.71683677;3.775055863;38.95508245;2530.257767;50.30166764;11.00275838;4.882046692;4;0.1;100;120;10;5
85;56.38437174;4366.197421;66.07720803;19.02512343;-0.881119471;36.42892125;2127.988109;46.13012149;10.71098359;2.529995116;4;0.1;100;120;10;10
85;40.67731059;2601.909502;51.00891591;13.13261659;2.285542061;38.60219668;2390.050439;48.88814211;11.27682987;2.893199084;4;0.1;100;120;10;30
85;32.60722331;1825.229281;42.72270217;13.92645716;-13.34461688;44.66847669;3213.656262;56.68911943;12.13221542;-0.994925834;4;0.1;100;120;10;1
85;24.6129538;899.4367259;29.99061063;10.14508551;-4.279891059;42.54082539;3504.655642;59.20013211;11.51357624;-0.731697032;4;0.1;100;120;10;5
85;33.54910563;1919.016976;43.80658598;14.24906566;-13.16386204;50.13660233;4533.031839;67.32779395;12.99469534;2.179257358;4;0.1;100;120;10;10
85;37.40939204;1689.565161;41.10432047;15.24657709;-4.978364417;48.70896836;4643.056561;68.1399777;13.04848867;2.323985206;4;0.1;100;120;10;30
86;37.73933421;3870.992137;62.21729773;7.221268686;4.102629038;36.17066275;2154.074075;46.41200356;12.16758683;-3.721126686;4;0.3;500;100;25;1
86;31.72770172;2710.095885;52.05858128;6.086732903;2.272494874;36.7497474;2372.719796;48.71057171;12.40310089;-6.060476971;4;0.3;500;100;25;5
86;28.44388845;2513.42522;50.13407245;5.358489843;3.677596886;34.49293155;2049.581159;45.27230013;11.79326301;-4.391914933;4;0.3;500;100;25;10
86;33.50484975;2216.097066;47.07544015;6.646816802;0.436506376;35.25656599;2208.584765;46.99558239;11.77743898;-3.358714095;4;0.3;500;100;25;30
86;40.43103373;1816.95397;42.62574304;9.870851059;4.573549672;39.19389711;2466.199177;49.66084149;13.24541002;-2.1971616;4;0.3;500;100;25;1
86;29.33696513;1144.110092;33.82469647;7.267864142;0.520487219;38.06890499;2425.158578;49.2458991;12.98844682;-3.178939596;4;0.3;500;100;25;5
86;34.05982941;1340.37036;36.61106882;8.246897445;5.216739781;37.83245698;2312.663341;48.09015846;12.64488069;0.042206521;4;0.3;500;100;25;10
86;18.9140977;567.9201611;23.83107553;4.720541832;-1.748139026;40.98354541;2695.664698;51.919791;13.80192275;-0.978961844;4;0.3;500;100;25;30
86;48.55776947;3106.579726;55.73669999;12.19693457;-12.19693457;42.26105913;2855.204264;53.43411143;14.09086851;-2.08814451;4;0.3;500;100;25;1
86;46.85999084;2931.84024;54.14647024;11.56259299;-11.53593628;38.77525227;2632.138143;51.30436768;12.57744375;-0.659535319;4;0.3;500;100;25;5
86;30.48909831;1455.062103;38.14527628;7.709974338;-5.36995121;40.23308208;2752.216547;52.4615721;13.12113918;-0.304971772;4;0.3;500;100;25;10
86;167.2655322;30020.22888;173.2634667;39.46658337;32.65407285;38.7774737;2694.708535;51.91058211;13.13254425;-0.74042753;4;0.3;500;100;25;30
86;49.49868169;3594.914207;59.95760341;16.37572764;0.43598457;36.63616602;2033.192649;45.09093755;10.79170349;1.37974233;4;0.3;500;100;25;1
86;60.63435913;6166.017732;78.52399462;19.77895812;3.395108025;37.90506161;2443.013284;49.4268478;10.58471293;5.484818738;4;0.3;500;100;25;5
86;53.81951024;5072.269205;71.21986524;17.1673467;5.152569766;41.11563735;2986.924682;54.65276464;11.25445531;7.374814526;4;0.3;500;100;25;10
86;35.29463882;2417.26372;49.16567624;10.90676654;4.985642036;38.74342347;2391.320909;48.90113403;11.34184695;3.909147801;4;0.3;500;100;25;30
86;27.5021639;1118.895639;33.44989744;10.32252031;5.602737139;48.33943072;4484.953789;66.96979759;12.3114772;4.199943348;4;0.3;500;100;25;1
86;23.99954051;890.1138457;29.83477578;10.07205394;-6.75780185;48.64572339;4009.428965;63.32005184;12.56410119;1.785518099;4;0.3;500;100;25;5
